9     0 -0.5 1 0.9333095      0 -0.5 2 1.799286      0 -0.5 3 2.27134      0 -0.5 4 3.262799      0 -0.5 5 3.139397      0 0.5 1 0.9333095      0 0.5 2 1.799286      0 0.5 3 2.27134      0 0.5 4 3.262799      0 0.5 5 3.139397      1 -0.5 2 1.752177      1 -0.5 3 3.153383      1 -0.5 4 2.51467      1 -0.5 5 3.141761      1 0.5 2 1.752177      1 0.5 3 3.153383      1 0.5 4 2.51467      1 0.5 5 3.141761      2 -0.5 3 3.266477      2 -0.5 4 3.147546      2 -0.5 5 3.148725      2 0.5 3 3.266477      2 0.5 4 3.147546      2 0.5 5 3.148725      3 -0.5 4 3.269938      3 -0.5 5 3.154024      3 0.5 4 3.269938      3 0.5 5 3.154024      4 -0.5 5 3.274272      4 0.5 5 3.274272      

10     0 -0.5 1 5.506013      0 -0.5 2 5.899392      0 -0.5 3 4.117093      0 -0.5 4 0.5299797      0 -0.5 5 1.03269      0 0.5 1 5.506013      0 0.5 2 5.899392      0 0.5 3 4.117093      0 0.5 4 0.5299797      0 0.5 5 1.03269      1 -0.5 2 5.93417      1 -0.5 3 2.833693      1 -0.5 4 0.9006122      1 -0.5 5 0.7371289      1 0.5 2 5.93417      1 0.5 3 2.833693      1 0.5 4 0.9006122      1 0.5 5 0.7371289      2 -0.5 3 0.5307701      2 -0.5 4 0.8200922      2 -0.5 5 0.8563597      2 0.5 3 0.5307701      2 0.5 4 0.8200922      2 0.5 5 0.8563597      3 -0.5 4 0.5316943      3 -0.5 5 0.5190235      3 0.5 4 0.5316943      3 0.5 5 0.5190235      4 -0.5 5 0.5328895      4 0.5 5 0.5328895      

11     0 -0.5 1 0.2514707      0 -0.5 2 0.04320451      0 -0.5 3 0.03178588      0 -0.5 4 1.507448      0 -0.5 5 0.8411692      0 0.5 1 0.2514707      0 0.5 2 0.04320451      0 0.5 3 0.03178588      0 0.5 4 1.507448      0 0.5 5 0.8411692      1 -0.5 2 0.05233964      1 -0.5 3 0.07443655      1 -0.5 4 1.476644      1 -0.5 5 1.152051      1 0.5 2 0.05233964      1 0.5 3 0.07443655      1 0.5 4 1.476644      1 0.5 5 1.152051      2 -0.5 3 1.509097      2 -0.5 4 1.053606      2 -0.5 5 1.109793      2 0.5 3 1.509097      2 0.5 4 1.053606      2 0.5 5 1.109793      3 -0.5 4 1.510432      3 -0.5 5 1.471022      3 0.5 4 1.510432      3 0.5 5 1.471022      4 -0.5 5 1.512155      4 0.5 5 1.512155      

12     0 -0.5 1 3.273173      0 -0.5 2 3.110315      0 -0.5 3 1.904033      0 -0.5 4 0.04048156      0 -0.5 5 0.1611138      0 0.5 1 3.273173      0 0.5 2 3.110315      0 0.5 3 1.904033      0 0.5 4 0.04048156      0 0.5 5 0.1611138      1 -0.5 2 3.154556      1 -0.5 3 1.617133      1 -0.5 4 0.01003261      1 -0.5 5 0.1207376      1 0.5 2 3.154556      1 0.5 3 1.617133      1 0.5 4 0.01003261      1 0.5 5 0.1207376      2 -0.5 3 0.0153551      2 -0.5 4 0.1732868      2 -0.5 5 0.07099662      2 0.5 3 0.0153551      2 0.5 4 0.1732868      2 0.5 5 0.07099662      3 -0.5 4 0.007768182      3 -0.5 5 0.009062229      3 0.5 4 0.007768182      3 0.5 5 0.009062229      4 -0.5 5 0.007891829      4 0.5 5 0.007891829      

13     0 -0.5 1 2.684562      0 -0.5 2 1.986146      0 -0.5 3 0.739003      0 -0.5 4 0.4269821      0 -0.5 5 0.2824499      0 0.5 1 2.684562      0 0.5 2 1.986146      0 0.5 3 0.739003      0 0.5 4 0.4269821      0 0.5 5 0.2824499      1 -0.5 2 2.043117      1 -0.5 3 0.1739      1 -0.5 4 0.2788457      1 -0.5 5 0.3111506      1 0.5 2 2.043117      1 0.5 3 0.1739      1 0.5 4 0.2788457      1 0.5 5 0.3111506      2 -0.5 3 0.5340457      2 -0.5 4 0.2601003      2 -0.5 5 0.4713152      2 0.5 3 0.5340457      2 0.5 4 0.2601003      2 0.5 5 0.4713152      3 -0.5 4 0.5877942      3 -0.5 5 0.6853171      3 0.5 4 0.5877942      3 0.5 5 0.6853171      4 -0.5 5 0.5870594      4 0.5 5 0.5870594      

14     0 -0.5 1 3.235117      0 -0.5 2 2.825868      0 -0.5 3 1.481581      0 -0.5 4 0.004736097      0 -0.5 5 0.02745681      0 0.5 1 3.235117      0 0.5 2 2.825868      0 0.5 3 1.481581      0 0.5 4 0.004736097      0 0.5 5 0.02745681      1 -0.5 2 2.881013      1 -0.5 3 0.6271821      1 -0.5 4 0.02894577      1 -0.5 5 0.004539486      1 0.5 2 2.881013      1 0.5 3 0.6271821      1 0.5 4 0.02894577      1 0.5 5 0.004539486      2 -0.5 3 0.00469601      2 -0.5 4 0.001083892      2 -0.5 5 0.001964049      2 0.5 3 0.00469601      2 0.5 4 0.001083892      2 0.5 5 0.001964049      3 -0.5 4 0.0045614      3 -0.5 5 0.006581686      3 0.5 4 0.0045614      3 0.5 5 0.006581686      4 -0.5 5 0.004390754      4 0.5 5 0.004390754      

15     0 -0.5 1 0.760262      0 -0.5 2 0.5038459      0 -0.5 3 0.1372177      0 -0.5 4 0.4422263      0 -0.5 5 0.1502232      0 0.5 1 0.760262      0 0.5 2 0.5038459      0 0.5 3 0.1372177      0 0.5 4 0.4422263      0 0.5 5 0.1502232      1 -0.5 2 0.5253823      1 -0.5 3 0.03807213      1 -0.5 4 0.3275068      1 -0.5 5 0.2671777      1 0.5 2 0.5253823      1 0.5 3 0.03807213      1 0.5 4 0.3275068      1 0.5 5 0.2671777      2 -0.5 3 0.4443888      2 -0.5 4 0.2854187      2 -0.5 5 0.2609717      2 0.5 3 0.4443888      2 0.5 4 0.2854187      2 0.5 5 0.2609717      3 -0.5 4 0.4455486      3 -0.5 5 0.4314946      3 0.5 4 0.4455486      3 0.5 5 0.4314946      4 -0.5 5 0.447062      4 0.5 5 0.447062      

16     0 -0.5 1 2.281557      0 -0.5 2 1.918781      0 -0.5 3 0.969944      0 -0.5 4 0.06138305      0 -0.5 5 0.004188504      0 0.5 1 2.281557      0 0.5 2 1.918781      0 0.5 3 0.969944      0 0.5 4 0.06138305      0 0.5 5 0.004188504      1 -0.5 2 1.961417      1 -0.5 3 0.6274343      1 -0.5 4 0.06233162      1 -0.5 5 0.0159416      1 0.5 2 1.961417      1 0.5 3 0.6274343      1 0.5 4 0.06233162      1 0.5 5 0.0159416      2 -0.5 3 0.1175082      2 -0.5 4 0.003218954      2 -0.5 5 0.0338575      2 0.5 3 0.1175082      2 0.5 4 0.003218954      2 0.5 5 0.0338575      3 -0.5 4 0.11689      3 -0.5 5 0.1062463      3 0.5 4 0.11689      3 0.5 5 0.1062463      4 -0.5 5 0.1160651      4 0.5 5 0.1160651      

17     0 -0.5 1 1.323577      0 -0.5 2 0.9649531      0 -0.5 3 0.3498668      0 -0.5 4 0.1884309      0 -0.5 5 0.0770112      0 0.5 1 1.323577      0 0.5 2 0.9649531      0 0.5 3 0.3498668      0 0.5 4 0.1884309      0 0.5 5 0.0770112      1 -0.5 2 0.9985828      1 -0.5 3 0.2592697      1 -0.5 4 0.2812873      1 -0.5 5 0.1169861      1 0.5 2 0.9985828      1 0.5 3 0.2592697      1 0.5 4 0.2812873      1 0.5 5 0.1169861      2 -0.5 3 0.2819467      2 -0.5 4 0.07675517      2 -0.5 5 0.1607347      2 0.5 3 0.2819467      2 0.5 4 0.07675517      2 0.5 5 0.1607347      3 -0.5 4 0.2829546      3 -0.5 5 0.3049913      3 0.5 4 0.2829546      3 0.5 5 0.3049913      4 -0.5 5 0.2842825      4 0.5 5 0.2842825      

18     0 -0.5 1 0.05815419      0 -0.5 2 0.04829595      0 -0.5 3 0.01448169      0 -0.5 4 0.02296858      0 -0.5 5 0.02893532      0 0.5 1 0.05815419      0 0.5 2 0.04829595      0 0.5 3 0.01448169      0 0.5 4 0.02296858      0 0.5 5 0.02893532      1 -0.5 2 0.04902999      1 -0.5 3 0.003127574      1 -0.5 4 0.000754687      1 -0.5 5 0.02927267      1 0.5 2 0.04902999      1 0.5 3 0.003127574      1 0.5 4 0.000754687      1 0.5 5 0.02927267      2 -0.5 3 0.02327913      2 -0.5 4 0.02971785      2 -0.5 5 0.02222643      2 0.5 3 0.02327913      2 0.5 4 0.02971785      2 0.5 5 0.02222643      3 -0.5 4 0.02359043      3 -0.5 5 0.03029414      3 0.5 4 0.02359043      3 0.5 5 0.03029414      4 -0.5 5 0.02400683      4 0.5 5 0.02400683      

